LogID,UserID,UserIP,Timestamp,DateTime,Event,ImageID,Type
91,1,127.0.0.1,1500370938,2017-07-18 11:42:18.354,page loaded,41,None
92,1,127.0.0.1,1500370939,2017-07-18 11:42:19.053,started typing,41,None
93,1,127.0.0.1,1500370940,2017-07-18 11:42:20.444,submitted,41,bar chart
94,1,127.0.0.1,1500370941,2017-07-18 11:42:21.228,page loaded,42,None
95,1,127.0.0.1,1500370941,2017-07-18 11:42:21.828,started typing,42,None
96,1,127.0.0.1,1500370943,2017-07-18 11:42:23.664,submitted,42,line chart
97,1,127.0.0.1,1500370944,2017-07-18 11:42:24.257,page loaded,43,None
98,1,127.0.0.1,1500370944,2017-07-18 11:42:24.915,started typing,43,None
99,1,127.0.0.1,1500370948,2017-07-18 11:42:28.005,submitted,43,scatter plot
100,1,127.0.0.1,1500370948,2017-07-18 11:42:28.592,page loaded,44,None
101,1,127.0.0.1,1500370958,2017-07-18 11:42:38.426,page loaded,45,None
102,1,127.0.0.1,1500370959,2017-07-18 11:42:39.982,started typing,45,None
103,1,127.0.0.1,1500370962,2017-07-18 11:42:42.692,submitted,45,line chart
104,1,127.0.0.1,1500370963,2017-07-18 11:42:43.668,page loaded,46,None
105,1,127.0.0.1,1500371057,2017-07-18 11:44:17.063,page loaded,47,None
106,1,127.0.0.1,1500371057,2017-07-18 11:44:17.932,skip,47,None
107,1,127.0.0.1,1500371058,2017-07-18 11:44:18.492,page loaded,48,None
108,1,127.0.0.1,1500371058,2017-07-18 11:44:18.844,skip,48,None
109,1,127.0.0.1,1500371059,2017-07-18 11:44:19.373,page loaded,49,None
110,1,127.0.0.1,1500371060,2017-07-18 11:44:20.170,skip,49,None
111,1,127.0.0.1,1500371060,2017-07-18 11:44:20.816,page loaded,50,None
112,1,127.0.0.1,1500371728,2017-07-18 11:55:28.665,page loaded,51,None
113,1,127.0.0.1,1500381879,2017-07-18 14:44:39.145,page loaded,55,None
114,1,127.0.0.1,1500382735,2017-07-18 14:58:55.790,page loaded,58,None
115,1,127.0.0.1,1500383146,2017-07-18 15:05:46.033,page loaded,59,None
116,1,127.0.0.1,1500383150,2017-07-18 15:05:50.170,page loaded,60,None
117,1,127.0.0.1,1500383154,2017-07-18 15:05:54.776,page loaded,61,None
118,1,127.0.0.1,1500383156,2017-07-18 15:05:56.341,page loaded,62,None
119,1,127.0.0.1,1500383158,2017-07-18 15:05:58.223,page loaded,63,None
120,1,127.0.0.1,1500383162,2017-07-18 15:06:02.308,page loaded,64,None
121,1,127.0.0.1,1500383163,2017-07-18 15:06:03.314,page loaded,65,None
122,1,127.0.0.1,1500383270,2017-07-18 15:07:50.831,page loaded,66,None
123,1,127.0.0.1,1500383271,2017-07-18 15:07:51.711,page loaded,67,None
124,1,127.0.0.1,1500383272,2017-07-18 15:07:52.929,page loaded,68,None
125,1,127.0.0.1,1500383274,2017-07-18 15:07:54.267,page loaded,69,None
126,1,127.0.0.1,1500383275,2017-07-18 15:07:55.881,page loaded,70,None
127,1,127.0.0.1,1500383281,2017-07-18 15:08:01.797,page loaded,71,None
128,1,127.0.0.1,1500383719,2017-07-18 15:15:19.063,page loaded,72,None
129,1,127.0.0.1,1500383719,2017-07-18 15:15:19.836,page loaded,73,None
130,1,127.0.0.1,1500383721,2017-07-18 15:15:21.806,page loaded,74,None
131,1,127.0.0.1,1500383723,2017-07-18 15:15:23.316,page loaded,75,None
132,1,127.0.0.1,1500383724,2017-07-18 15:15:24.751,page loaded,76,None
133,1,127.0.0.1,1500383726,2017-07-18 15:15:26.363,page loaded,77,None
134,1,127.0.0.1,1500383728,2017-07-18 15:15:28.168,page loaded,78,None
135,1,127.0.0.1,1500383729,2017-07-18 15:15:29.272,page loaded,78,None
136,1,127.0.0.1,1500383754,2017-07-18 15:15:54.907,submitted,78,diagram of the cause of mortality
137,1,127.0.0.1,1500384251,2017-07-18 15:24:11.973,page loaded,79,None
138,1,127.0.0.1,1500384256,2017-07-18 15:24:16.787,skip,79,None
139,1,127.0.0.1,1500384257,2017-07-18 15:24:17.363,page loaded,80,None
140,1,127.0.0.1,1500384286,2017-07-18 15:24:46.366,page loaded,81,None
141,1,127.0.0.1,1500384525,2017-07-18 15:28:45.123,page loaded,57,None
142,1,127.0.0.1,1500384902,2017-07-18 15:35:02.243,page loaded,57,None
143,1,127.0.0.1,1500384921,2017-07-18 15:35:21.693,submitted,57,diagram of the cause of mortality
144,1,127.0.0.1,1500384942,2017-07-18 15:35:42.433,page loaded,57,None
145,1,127.0.0.1,1500384947,2017-07-18 15:35:47.393,skip,57,None
146,1,127.0.0.1,1500384952,2017-07-18 15:35:52.080,skip,57,None
147,1,127.0.0.1,1500384954,2017-07-18 15:35:54.473,page loaded,82,None
148,1,127.0.0.1,1500384955,2017-07-18 15:35:55.572,skip,82,None
149,1,127.0.0.1,1500384956,2017-07-18 15:35:56.136,page loaded,83,None
150,1,127.0.0.1,1500384961,2017-07-18 15:36:01.387,page loaded,84,None
151,1,127.0.0.1,1500385035,2017-07-18 15:37:15.302,page loaded,57,None
152,1,127.0.0.1,1500385046,2017-07-18 15:37:26.193,skip,57,None
153,1,127.0.0.1,1500385046,2017-07-18 15:37:26.612,page loaded,57,None
154,1,127.0.0.1,1500385048,2017-07-18 15:37:28.382,skip,57,None
155,1,127.0.0.1,1500385048,2017-07-18 15:37:28.814,page loaded,57,None
156,1,127.0.0.1,1500385050,2017-07-18 15:37:30.642,skip,57,None
157,1,127.0.0.1,1500385051,2017-07-18 15:37:31.057,page loaded,57,None
158,1,127.0.0.1,1500385052,2017-07-18 15:37:32.951,skip,57,None
159,1,127.0.0.1,1500385053,2017-07-18 15:37:33.687,page loaded,85,None
160,1,127.0.0.1,1500385057,2017-07-18 15:37:37.226,skip,85,None
161,1,127.0.0.1,1500385057,2017-07-18 15:37:37.914,page loaded,86,None
162,1,127.0.0.1,1500385061,2017-07-18 15:37:41.173,skip,86,None
163,1,127.0.0.1,1500385061,2017-07-18 15:37:41.799,page loaded,87,None
164,1,127.0.0.1,1500385063,2017-07-18 15:37:43.026,skip,87,None
165,1,127.0.0.1,1500385064,2017-07-18 15:37:44.087,page loaded,88,None
166,1,127.0.0.1,1500385064,2017-07-18 15:37:44.667,skip,88,None
167,1,127.0.0.1,1500385065,2017-07-18 15:37:45.362,page loaded,57,None
168,1,127.0.0.1,1500385255,2017-07-18 15:40:55.791,page loaded,89,None
169,1,127.0.0.1,1500385294,2017-07-18 15:41:34.728,page loaded,57,None
170,1,127.0.0.1,1500385303,2017-07-18 15:41:43.847,page loaded,57,None
171,1,127.0.0.1,1500385319,2017-07-18 15:41:59.573,page loaded,57,None
172,1,127.0.0.1,1500385478,2017-07-18 15:44:38.891,page loaded,57,None
173,1,127.0.0.1,1500385547,2017-07-18 15:45:47.732,page loaded,57,None
174,1,127.0.0.1,1500385559,2017-07-18 15:45:59.650,page loaded,57,None
175,1,127.0.0.1,1500385593,2017-07-18 15:46:33.840,page loaded,57,None
176,1,127.0.0.1,1500385602,2017-07-18 15:46:42.260,page loaded,57,None
177,1,127.0.0.1,1500385692,2017-07-18 15:48:12.964,page loaded,57,None
178,1,127.0.0.1,1500385743,2017-07-18 15:49:03.395,skip,57,None
179,1,127.0.0.1,1500386142,2017-07-18 15:55:42.055,page loaded,57,None
180,1,127.0.0.1,1500386150,2017-07-18 15:55:50.615,page loaded,57,None
181,1,127.0.0.1,1500386256,2017-07-18 15:57:36.880,page loaded,57,None
182,1,127.0.0.1,1500386477,2017-07-18 16:01:17.567,skip,57,None
183,1,127.0.0.1,1500386570,2017-07-18 16:02:50.339,page loaded,57,None
184,1,127.0.0.1,1500386588,2017-07-18 16:03:08.442,page loaded,57,None
185,1,127.0.0.1,1500386613,2017-07-18 16:03:33.714,page loaded,57,None
186,1,127.0.0.1,1500386623,2017-07-18 16:03:43.835,page loaded,57,None
187,1,127.0.0.1,1500386634,2017-07-18 16:03:54.384,page loaded,57,None
188,1,127.0.0.1,1500386656,2017-07-18 16:04:16.974,page loaded,57,None
189,1,127.0.0.1,1500386670,2017-07-18 16:04:30.390,page loaded,57,None
190,1,127.0.0.1,1500386681,2017-07-18 16:04:41.349,page loaded,57,None
191,1,127.0.0.1,1500386689,2017-07-18 16:04:49.154,page loaded,57,None
192,1,127.0.0.1,1500386700,2017-07-18 16:05:00.469,page loaded,57,None
193,1,127.0.0.1,1500386707,2017-07-18 16:05:07.951,page loaded,57,None
194,1,127.0.0.1,1500386715,2017-07-18 16:05:15.514,page loaded,57,None
195,1,127.0.0.1,1500386758,2017-07-18 16:05:58.965,submitted,57,None
196,1,127.0.0.1,1500386940,2017-07-18 16:09:00.271,submitted,57,None
197,1,127.0.0.1,1500387080,2017-07-18 16:11:20.346,page loaded,57,None
198,1,127.0.0.1,1500387081,2017-07-18 16:11:21.458,page loaded,57,None
199,1,127.0.0.1,1500387082,2017-07-18 16:11:22.293,page loaded,57,None
200,1,127.0.0.1,1500387118,2017-07-18 16:11:58.755,page loaded,57,None
201,1,127.0.0.1,1500387136,2017-07-18 16:12:16.498,page loaded,57,None
202,1,127.0.0.1,1500387159,2017-07-18 16:12:39.630,page loaded,57,None
203,1,127.0.0.1,1500387166,2017-07-18 16:12:46.803,page loaded,57,None
204,1,127.0.0.1,1500387174,2017-07-18 16:12:54.447,page loaded,57,None
205,1,127.0.0.1,1500387217,2017-07-18 16:13:37.557,page loaded,57,None
206,1,127.0.0.1,1500387226,2017-07-18 16:13:46.955,page loaded,57,None
207,1,127.0.0.1,1500387273,2017-07-18 16:14:33.934,page loaded,57,None
208,1,127.0.0.1,1500387309,2017-07-18 16:15:09.948,page loaded,57,None
209,1,127.0.0.1,1500387328,2017-07-18 16:15:28.441,page loaded,57,None
210,1,127.0.0.1,1500387373,2017-07-18 16:16:13.783,page loaded,57,None
211,1,127.0.0.1,1500387405,2017-07-18 16:16:45.967,page loaded,57,None
212,1,127.0.0.1,1500387407,2017-07-18 16:16:47.142,page loaded,57,None
213,1,127.0.0.1,1500387457,2017-07-18 16:17:37.836,page loaded,57,None
214,1,127.0.0.1,1500387617,2017-07-18 16:20:17.472,page loaded,57,None
215,1,127.0.0.1,1500387642,2017-07-18 16:20:42.509,page loaded,90,None
216,1,127.0.0.1,1500387647,2017-07-18 16:20:47.537,page loaded,91,None
217,1,127.0.0.1,1500387650,2017-07-18 16:20:50.374,page loaded,57,None
218,1,127.0.0.1,1500387753,2017-07-18 16:22:33.521,page loaded,92,None
219,1,127.0.0.1,1500387808,2017-07-18 16:23:28.154,page loaded,93,None
220,1,127.0.0.1,1500387848,2017-07-18 16:24:08.655,page loaded,94,None
221,1,127.0.0.1,1500388115,2017-07-18 16:28:35.273,page loaded,95,None
222,1,127.0.0.1,1500388129,2017-07-18 16:28:49.911,page loaded,96,None
223,1,127.0.0.1,1500388271,2017-07-18 16:31:11.203,page loaded,97,None
224,1,127.0.0.1,1500388393,2017-07-18 16:33:13.226,page loaded,98,None
225,1,127.0.0.1,1500388539,2017-07-18 16:35:39.476,page loaded,99,None
226,1,127.0.0.1,1500388546,2017-07-18 16:35:46.903,page loaded,100,None
227,1,127.0.0.1,1500388553,2017-07-18 16:35:53.104,page loaded,57,None
228,1,127.0.0.1,1500388700,2017-07-18 16:38:20.945,page loaded,57,None
229,1,127.0.0.1,1500389000,2017-07-18 16:43:20.749,page loaded,57,None
230,1,127.0.0.1,1500389024,2017-07-18 16:43:44.203,page loaded,57,None
231,1,127.0.0.1,1500389137,2017-07-18 16:45:37.408,page loaded,57,None
232,1,127.0.0.1,1500389188,2017-07-18 16:46:28.115,page loaded,57,None
233,1,127.0.0.1,1500389190,2017-07-18 16:46:30.379,page loaded,101,None
234,1,127.0.0.1,1500389192,2017-07-18 16:46:32.319,page loaded,57,None
